epoch,global_step,learning_rate,train_gradient_norm,validation_mean_h1_h4_request_macro_recall_at_8,validation_min_h1_h4_request_macro_recall_at_8,train_boundary,train_balanced_bce,train_listwise,train_restricted_kl,train_loss,train_boundary_h1,train_boundary_h2,train_boundary_h3,train_boundary_h4,train_balanced_bce_h1,train_balanced_bce_h2,train_balanced_bce_h3,train_balanced_bce_h4,train_listwise_h1,train_listwise_h2,train_listwise_h3,train_listwise_h4,train_restricted_kl_h1,train_restricted_kl_h2,train_restricted_kl_h3,train_restricted_kl_h4,validation_recall_h1,validation_recall_h2,validation_recall_h3,validation_recall_h4,validation_recall_h5,validation_recall_h6,validation_recall_h7,validation_recall_h8
1,127,9.972480385724772e-05,1.196818152046579,0.7851176723502531,0.756411839824291,0.26587741880670307,0.39425897375335844,3.066625756541575,0.1114416915600694,3.332503177049592,0.2499933245144491,0.2605861966886858,0.2664068056725142,0.2795531418849164,0.38125652156946227,0.3894843430969659,0.39478767317111096,0.40566977870276594,3.021190657390384,3.0499585284961492,3.0684493151236705,3.1065077434374593,0.0918915783033127,0.10225373424413636,0.11414035342223063,0.12835151922163063,0.8125032337997812,0.7925609756021181,0.7789946401748222,0.756411839824291,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
2,254,9.668578439491649e-05,1.3898109643478094,0.7865091086826161,0.7577167175610254,0.19371961203851099,0.2975110285512106,2.815964972879004,0.5373651083177469,3.0096845823948777,0.17361758922146062,0.18732450964061295,0.19500747786497508,0.2103111409530865,0.2778809269464861,0.290392481142611,0.29878658631185845,0.3142804970422129,2.75127848865479,2.7921405833537185,2.820935856638931,2.870829834712772,0.5240734050006378,0.5294861941943019,0.5413755180798178,0.5481368552629403,0.8139539450263853,0.7941351466433134,0.7802306254997404,0.7577167175610254,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
3,381,9.050185235903628e-05,0.34888170401411733,0.7870754342307817,0.7582159554007334,0.17047455736736614,0.2534551385232783,2.724805241494667,1.4410430784300556,2.8952797951660756,0.14868753960752112,0.16360785774006617,0.17211070090649636,0.18821358443127842,0.2247653201105088,0.2429453173256296,0.25571993756012656,0.2777008958102211,2.649832758377856,2.697329622554028,2.7317306206920953,2.787332853933019,1.502513566355067,1.4575573811380882,1.4350019737960786,1.3940874565774062,0.814601810809558,0.7947225132350889,0.7807614574777467,0.7582159554007334,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
4,508,8.163954390565895e-05,0.33916756897930084,0.787189279129259,0.7584090447799128,0.1672053905277271,0.2716989139402945,2.6973080184516007,2.0111625579398447,2.8645134141126016,0.14579565993209523,0.16061289543945959,0.16872874421514863,0.18460408125923375,0.2355163255779762,0.2593202162094004,0.27435039951810686,0.30186353899597185,2.6213647568319725,2.6702349749137095,2.704163351396876,2.760272793882475,2.143070610489432,2.0532994256244868,1.9957906570960218,1.907942527861107,0.814564394044462,0.7947684829429973,0.7810151947496634,0.7584090447799128,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
5,635,7.076746071015793e-05,0.37235568217405185,0.7873376154391412,0.7585797761968996,0.1651537441831874,0.3067497167530961,2.680887573347317,2.4584592599568404,2.8460413170611765,0.14427952984655937,0.15871781729689732,0.16651564939167557,0.18222558398650388,0.2653370750701334,0.29302980774265575,0.310003325167134,0.3407934115040959,2.6053328964653915,2.6543561811522234,2.687379135860233,2.7435353158965823,2.646893306041327,2.5247806371666317,2.4346181496860475,2.3084898806932403,0.8146764132329823,0.7949571262715702,0.7811371460551122,0.7585797761968996,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
6,762,5.8705828459503176e-05,0.3092031345710041,0.787487098351123,0.7587210364409579,0.16395813869092407,0.3235301025153145,2.6751203067659395,2.668318423699206,2.8390784507661353,0.1433589443212419,0.15767144188871535,0.1652783491304071,0.18078189269881548,0.28253608372971767,0.31093126042621344,0.32706347882278325,0.356314199059967,2.6000579454767423,2.649110244953726,2.681575612759027,2.73712251693245,2.8929527772693184,2.7433756435011314,2.6403670508091843,2.4918168473431446,0.8148209994258214,0.7950919397416661,0.7813144177960467,0.7587210364409579,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
7,889,4.6364616330794633e-05,0.2993410379867854,0.7875112254544284,0.7587182417187113,0.16295333529316533,0.33173591678771447,2.6715060106412634,2.812874843755106,2.8344593395398356,0.14269790370163954,0.1568344049155712,0.164264451272375,0.17944364651568293,0.29145639313487554,0.31978152616052175,0.33509587537585284,0.3637585642300253,2.5972989328264253,2.646081740461935,2.677868407542311,2.732624940984831,3.0527332185760256,2.8900354190135564,2.78123642609814,2.6278942480800658,0.8148794344054358,0.7951512480833249,0.7812959776102419,0.7587182417187113,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
8,1016,3.467488592596162e-05,0.27569131025179167,0.7875438453493254,0.7587459347587139,0.16233950824014784,0.3369711076063434,2.6691455418669334,2.8957738594746028,2.83148504617646,0.14231973320363075,0.15638314595255326,0.16353679600897736,0.17865919345241832,0.2977833754903688,0.3252355513844903,0.3406656737637332,0.36784116260883376,2.595713119807206,2.644438145667549,2.6750404722108616,2.7296596418215535,3.141929354254655,2.9758157373413328,2.854493743322027,2.7127090730066374,0.8149429508781574,0.7951915015916556,0.7812949941687748,0.7587459347587139,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
9,1143,2.451854892461354e-05,0.2760458674252503,0.7875477372960684,0.7587367886140549,0.16196263273517916,0.3400567852136657,2.66779701822386,2.97090035723889,2.829759652220358,0.14196951863333934,0.15608113945469143,0.16309609671863984,0.17826781867761313,0.30045612795850424,0.32906357328018804,0.34270638344794746,0.37157803410150875,2.594514011398075,2.6433894887683898,2.6736876485854624,2.728015214439452,3.2309020382212843,3.0456117842141097,2.9420218664830124,2.771823672797736,0.8149678954429214,0.7951910251588277,0.7812952399684701,0.7587367886140549,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
10,1270,1.6661832768559947e-05,0.26450865205348006,0.7874999337167118,0.7586511687509624,0.16167271104971254,0.3427892928635042,2.666595560359204,3.011640110353785,2.8282682726702353,0.14183082977148492,0.1557446618777091,0.16281737730376364,0.17789877546349847,0.303944250788745,0.3316651967566783,0.3454118081199841,0.373916617939322,2.593646137733159,2.6421601049543364,2.6723529719930936,2.726721008931558,3.2659870996249944,3.085803784723357,2.981686835213909,2.817594044321165,0.8149443367346074,0.7951884050962867,0.7812158242849904,0.7586511687509624,0.7326421889240319,0.7139990743892981,0.687248193461813,0.6596062968706311
